"","Small","Small_med","Medium_S","Med_large","Large","Globulose","Vermiform","Dorso_com","Later_com","Upright","Calcareous","Siliceous","Chitinous","Cuticle","None_SK","Asexual","Sexual_ext","Sexual_int","Sexual_brood","Pel_Plankto","Pel_Leci","Benthic_Dir","Sessile","Burrower","Crawler","Swimmer","none_MV","Low","medium_MV","High","Deposit","Filter_Sus","Op_Sc","Pred","Arctic","Boreal","Cosmo"
"1284",0.0423280424377219,1.94708994726132,0.767195767147782,0.444444444423879,0.0105820106094305,0.148148148285248,0.878306878176634,1.52380952368613,0.703703703737979,0.0317460318282914,1.87301587281022,0,0.873015873057003,0.285714285837675,0.301587301566737,0.259259259314099,2.01587301572906,0.306878306933147,0.7460317461757,1.16931216901055,0.962962962990383,1.40740740753765,0.089947090180159,0.476190476128781,1.56084656069575,0.873015872995308,0.0793650795707285,1.21164021144827,1.29100529083392,0.857142857142857,1.22751322730072,0.0793650795707285,1.41798941771522,1.84126984116702,2.13756613730565,0.788359788366643,0.28571428589937
"1300",0.062015503776277,2.37209302350871,0.503875968844176,0.224806201567247,0,0.395348837235691,0.550387596865505,1.27131782911577,0.984496124339613,0,1.61240310064178,0,1.17829457373504,0.209302325717739,0.139534883685745,0.0930232558535371,1.45736434101197,0.4108527130852,1.0930232559481,0.674418604607181,0.829457364142434,1.74418604673374,0.116279069864202,0.186046511612513,1.82170542607584,0.976744186273018,0.116279069864202,1.06976744184287,1.05426356561512,1.07751938009859,1.12403100774168,0.124031007836236,1.28682170543809,2,2.05426356608792,0.992248062217087,0.302325581193033
"1306",0.159999999917292,1.36999999993797,1.40999999999114,0.479999999899568,0.349999999985231,0.399999999940923,0.669999999967507,1.37000000038105,0.799999999881845,0.379999999692797,1.51000000005022,0.190000000067939,0.930000000239264,0.0599999998582141,0.469999999701659,0.509999999754829,1.95000000004431,0.259999999976369,1.09000000000886,0.810000000227448,1.27999999992911,1.18000000016542,0.759999999533288,0.650000000014769,0.890000000481481,0.900000000088616,0.799999999586458,1.02000000010043,0.470000000440127,0.869999999937969,0.740000000319018,0.719999999627812,0.749999999926153,1.30000000017723,1.61000000010929,0.980000000490343,0.899999999645535
"1307",0.0446428570955588,0.196428571071759,2.5357142858902,0.205357142974144,0.205357142974144,0.124999999941914,1.812500000273,0.205357142974144,1.8258928569184,0,0,0,2.69196428553878,0,0.308035714461216,0,1.60714285729886,0,2.19642857135057,2.7187500004095,0,0.281249999590496,0,0.107142857066516,0.116071428411278,2.89732142879174,0,0,0,2.98660714298286,0.0535714284403208,0,1.68303571428696,2.19196428567819,1.62499999998838,1.62499999998838,0.562500000017426
"1312",0.232018561476327,0.410672853771774,2.63341067292537,0.164733178610088,0.0696055684267976,0.0301624129849456,1.6218097448274,0.46403712292582,1.60556844552781,0.141531322467822,0.522041763281484,0,2.37354988407832,0.00464037122845317,0.10208816702597,0.00928074245690635,1.88399071928867,0.0208816705280393,2.01624129929959,2.58932714625506,0.320185614816937,0.243619489493792,0.436194895555101,0.0696055684267976,0.167053364224314,2.46635730864738,0.436194895555101,0.0232018561422659,0.180974477909674,2.48259860794697,0.0139211136853595,0.475638050996953,1.56380510447173,1.74941995360986,1.60556844552781,1.57308584692864,0.570765661180243
"1316",0.0429687499615458,0.865234375026524,0.662109374967363,1.50585937491215,0.0800781249857029,0.0859375000240585,0.25195312488237,0.949218750029383,0.19726562494508,1.75976562509337,2.65234375011378,0.00390624999191476,0.281249999947939,0.00781249998382953,0.0722656249261483,1.09375000000789,2.25976562506813,0.0566406249584892,0.226562499934924,0.365234374925557,1.94531250001223,0.916015625022382,1.29296875002465,0.119140624930092,0.955078125017255,0.806640624996352,0.974609375002071,0.792968749974167,1.16796875008144,0.146484374923979,0.542968750012029,1.5917968751129,1.49609374998284,1.57617187496855,2.08007812508667,0.859374999962926,0.205078124878426
"1321",0.140624999899066,1.42187500033051,1.43749999989709,0.234374999958439,0.0156250000732267,0.906250000067289,0.57812500017614,1.35937499978428,0.507812500099944,0.140625000025728,1.86718750001089,0,0.789062499898076,0.0156250000732267,0.343750000091039,0.453125000096976,2.3749999998575,0.0390625001830667,0.671874999982188,1.81249999962793,0.726562499985157,0.859375000354259,0.460937499880265,0.273437500268168,1.95312500003364,0.593749999869379,0.445312500060362,0.484374999990105,1.86718749988422,0.609375000069268,1.09374999942606,0.757812499878285,1.63281249979912,1.71875000020187,1.5234375004265,0.781250000114788,0.398437499587358
"1322",0.0750000001523324,1.41249999937544,1.39999999975627,0.325000000578863,0.0250000002132654,0.824999999725802,0.650000000670263,1.6124999998629,0.449999999695335,0.100000000121866,2.0249999997258,0,0.749999999817201,0,0.225000000456997,0.274999999908601,2.41249999937544,0.0375000003198981,0.712500000472231,1.63749999910124,0.8,0.90000000060933,0.162500000167566,0.287500000258965,2.32499999984767,0.412499999619169,0.162500000167566,0.512500000472231,2.18749999964964,0.42499999948207,1.27499999917741,0.487500000258965,1.6499999994516,1.90000000012187,1.37500000003047,0.724999999847668,0.412500000594096
"1329",0.0549450549090238,0.802197801671748,1.59340659432899,0.516483516144824,0.142857142763462,1.0769230775284,0.758241758181706,1.29670329629014,0.560439560509221,0.0549450549090238,1.71428571447308,0,0.956043956072781,0.0329670329454143,0.296703296508729,0.219780219636095,2.31868131890952,0.0549450549090238,0.901098900945168,1.64835164858225,0.527472527126629,1.06593406589083,0.2307692306179,0.406593406982543,1.93406593410917,0.494505494181214,0.2307692306179,0.20879120865429,2.18681318734645,0.483516483199409,1.14285714298205,0.395604395344971,1.37362637403713,1.83516483527293,1.29670329629014,0.791208790908532,0.296703296508729
"1338",0.0651162790945619,1.58604651164201,1.28604651169949,0.139534883632205,0.0697674418422339,0.104651162841745,1.34651162799412,0.720930232500407,1.60465116276335,0.0953488371896126,0.576744185963742,0,2.29534883722097,0.0302325581473135,0.127906976789156,0.158139534884207,1.80697674414241,0.0209302325997067,1.71395348840503,1.87674418606304,0.493023255747835,0.758139534926017,0.202325581405194,0.232558139552507,0.699999999979095,2.01395348834754,0.211627907005063,0.369767441863139,0.299999999968642,2.15581395345811,0.474418604548096,0.23023255815254,1.1488372093366,1.96976744187882,1.96279069762665,1.61860465118929,0.209302325605096
"1339",0,0.554140127770588,2.27388534996665,0.49681528672865,0.210191082813542,0.146496815444668,1.59235668767408,1.08917197440273,1.37579617810207,0.382165605184183,0.554140127662706,0,2.04458598687772,0.0382165605507829,0.382165605184183,0.0382165605507829,1.80254777070339,0.0573248408261744,1.93630573230748,1.27388535039818,0.312101910948963,1.56050955398964,0.267515923639716,1.16560509518065,0.522292993978269,1.43949044590248,0.229299363088934,0.178343949236987,1.55414012723118,1.41401273886862,0.0764331211015658,0.356687898150328,1.43312101892825,1.93630573252324,1.44585987244518,1.04458598720136,0.745222930092975
"1345",0.0921985817113741,1.75886524794327,1.9078014187234,0.163120567286466,0.120567375883441,1.67375886513722,0.212765957594815,0.113475177267963,1.872340425646,0.0780141843354936,0.1418439718748,0,2.70212765945421,0,0.163120567286466,0.0141843972309571,0.12765957449892,0.0567375889238283,2.87943262382671,0.269503546083873,0.0921985817113741,2.65957446790626,0.0567375886339814,0.872340425356157,0.971631205683009,2.03546099264262,0.0567375886339814,0.0567375889238283,0.0425531914030243,2.87234042506631,0.0425531914030243,0.0780141843354936,0.148936170200432,2.84397163103917,0.127659574788767,0.11347517755781,2.76595744612398
"1346",0.00255505762154161,2.97281418691382,0.0205426632701693,0.00378148527988159,0.00275946223126494,0.015330345725737,0.0213602817090626,0.0246307554669776,2.95809705501374,0.00306606914584994,2.95543979509437,0,0.0401655057965835,0.000817618438893317,0.00388368758474325,0.0049057106333599,2.96985032007283,0.00367928297501993,0.032295928325748,0.0402677081014452,2.93663457100333,0.0244263508584252,1.95993669650594,0.00582553137711488,0.0400633034952345,1.00183964148283,0.00797177977920984,2.93949623553946,0.0216668886271602,0.0315805121882037,1.9751648399233,1.96300276565179,0.0337267605926404,1.01839641486925,1.98589608193143,1.00224845070344,0.00919820743754981
"1353",0.0923076923213844,0.47692307699382,1.50769230791595,0.769230769048208,0.676923076726823,0.123076923095179,1.66153846148826,1.06153846139926,1.30769230788628,0.0615384615475896,0.230769230803461,0,1.83076923104079,0,0.953846153542645,0.0307692307737948,1.15384615401731,0.107692307708282,2.30769230758962,2.09230769217305,0.0923076923213844,0.83076923089246,0.0615384615475896,0.600000000088999,0.384615384672435,2.27692307681582,0.0307692307737948,0.0923076923213844,0.600000000088999,2.33846153836341,0.215384615416564,0.123076923095179,1.06153846169592,2.50769230761928,1.07692307708282,0.89230769244005,1.29230769205439
"1354",0.220689655164478,1.95402298847772,1.05057471256765,0.103448275986781,0.0275862069298083,0.0528735632547337,0.818390804488358,0.356321839208636,2.14942528718028,0.0712643678746059,0.310344827713753,0,2.56551724118431,0.0597701150145847,0.0735632183972922,0.137931034539446,0.990804597607867,0.0574712644371007,2.28735632180192,0.880459769888634,0.229885057529211,1.9264367817123,0.154022988636632,0.066666666692239,0.650574712688209,1.30344827562512,0.160919540341685,0.135632183961962,0.20689655178177,1.48275862042228,0.291954022984286,0.21379310356902,1.02528735618793,2.27356321828222,1.93793103440793,1.78390804588089,0.149425287454265
"1355",0.373831775631029,0.504672897164222,0.728971962293511,1.23364486008105,1.23364486008105,0.158878504518523,1.36448598130259,0.971962617014669,1.12149532704892,0.261682243066385,0.457943925210343,0,1.12149532689309,0,1.43925233670929,0.261682243066385,0.682242990339632,0,2.38317757027113,1.85046728965409,0.392523364599577,0.757009345746333,0.392523364599577,0.289719626207546,0.429906541757522,2.3457943926457,0.392523364599577,0,0.0280373829853309,2.57943925241509,0.242990654097837,0.392523364599577,0.747663551106229,2.40186915892802,0.785046728887494,0.392523364287917,1.99065420598322
"1365",0.0356083086443984,2.09495548952086,0.566765578716045,0.362017804197895,0.0548961424986459,0.0593471810636006,0.639465875490104,1.77596439156522,0.560830860556661,0.32344213645821,1.9139465874531,0.0133531157416494,0.703264095009494,0.0296735905006101,0.347181008955387,0.244807121696313,2.25074183963736,0.250741839824506,0.787833827930775,0.916913946563983,1.37685459931564,1.22255192885594,0.492581602347556,0.126112759662682,1.96587537090325,0.577151335346812,0.424332344216426,1.24183976250746,1.27448071210335,0.589020771603199,1.33679525212188,0.504451038541562,1.35905044502463,1.7091988130909,2.12759643913235,0.669139466021905,0.42581602373288
"1375",0.0339015195960062,2.28806808764757,0.596666745500569,0.183068205934788,0.0339015195960062,0.0745833430966695,1.14587136385034,2.07109836193498,1.00009482957297,0.0949242549197224,1.31170432184998,0.00678030390465699,1.57642066339593,0.0610227353600768,0.135606078529468,0.0983144069084115,2.23043550427619,0.108484862729036,1.15265166782772,1.11535999631575,0.335625044298619,1.65410967027142,0.142386382397764,0.464450819141594,1.85751878810199,0.864488750934422,0.0983144068720509,0.362746260026329,1.43035964069053,1.15604181988913,0.698371304652194,0.155946990243439,1.6169128280779,1.81693179391977,1.93897726482173,1.59657191632757,0.1491666862297
