"","Acanthostepheia_malmgreni","Actineria","Actiniaria","Alcyonidium_gelatinosum","Allantactis_parasitica","Amathillopsis_spinigera","Amphipoda","Anonyx","Anthozoa","Arcturus","Argis","Ascidea","Ascidiacea","Bathyarca_glacialis","Bathybiaster_vexillifer","Bathypolypus_arcticus","Boreonymphon","Brachiopoda","Brada","Buccinum","Buccinum_undatum","Byblis","Bythocaris","Caprellidae","Cephalaspidea","Cephalopoda","Cleippides_quadricuspis","Colossendeis_angusta","Colossendeis_proboscidea","Colus","Crinoidea","Crossaster_papposus","Ctenodiscus_crispatus","Dexamine","Elpidia","Epimeria_loricata","Euphrosine_borealis","Eurythenes_gryllus","Eusergestes_arcticus","Eusirus","Eusirus_cuspidatus","Eusirus_holmi","Gammarus_wilkitzkii","Gastropoda","Gonatus","Gorgonocephalus","Heliometra_glacialis","Henricia","Hormathia","Hormathia_digitata","Hornera_lichenoides","Hyas_coarctatus","Hymenaster_pellucidus","Icasterias_panopla","Korethraster_hispidus","Kukenthalia_borealis","Lebbeus_polaris","Leptasterias","Limneria_undata","Lophaster_furcifer","Lysianassidae","Margarites","Margarites_groenlandicus","Molpadia_borealis","Munnopsidae","Nemertea","Nothria_conchylega","Nymphon","Nymphon_hirtipes","Nymphon_stroemi","Onchidiopsis","Ophiacantha_bidentata","Ophiocten_sericeum","Ophiopholis_aculeata","Ophiopleura_borealis","Ophioscolex_glacialis","Ophiura_robusta","Ophiura_sarsii","Pandalus_borealis","Paramphithoe","Paramphithoe_hystrix","Parandania_boecki","Pasiphaea","Pasiphaea_tarda","Philine","Poliometra_prolixa","Polychaeta","Polymastia_grimaldii","Polymastia_hemisphaerica","Polynoidae","Pontaster_tenuispinus","Poraniomorpha","Poraniomorpha_hispida","Poraniomorpha_tumida","Porifera","Priapulida","Pseudopallene","Pteraster","Pycnogonida","Rhachotropis_aculeata","Rossia","Rozinante_fragilis","Sabellidae","Sabinea_septemcarinata","Sclerocrangon_boreas","Sclerocrangon_ferox","Siboglinidae","Similipecten_greenlandicus","Stegocephalus_inflatus","Strongylocentrotus_pallidus","Styela","Sycon","Tentorium","Terebellidae","Themisto_libellula","Turrisipho","Umbellula_encrinus","Urasterias_lincki","Urticina","Zoantharia"
"Depth",0.124966252343503,0.10124696647411,0.232964459468362,0.0418669301739275,0.22709907521728,0.071343300210083,0.252720563680624,0.0334641571453036,0.0333645335490188,0.129920328204493,0.372302876790977,0.177136226009607,0.328010233963727,0.309323351364679,0.420736974068502,0.401351646858551,0.106312832241107,0.481656866482412,0.331453027013728,0.670853615962713,0.169080726816749,0.0993049410026526,0.160012940034397,0.0867874627214095,0.30768225692418,0.087353752880307,0.0417137733281641,0.181801387612567,0.0771027968709037,0.467947705676636,0.0311535769132469,0.181063802573516,0.0745792429624176,0.148747626977322,0.311522123639395,0.230932668998852,0.484937395960525,0.131256900940339,0.257762827027776,0.19609259440442,0.121090189945784,0.0441814358403772,0.109926451518472,0.357012221288746,0.192704786554272,0.375955591083381,0.352925887429232,0.217228552045595,0.0900828898519662,0.0778661276519603,0.0880026975871537,0.205587015440224,0.0973007641600786,0.155769619859738,0.5589121461327,0.622255788750543,0.168662373469927,0.063385608671092,0.504313095958035,0.787684604420949,0.104905986964037,0.580362593365859,0.169923982093537,0.383634179702611,0.434648883446749,0.518699972503068,0.189441525757387,0.142797163063382,0.538494833849985,0.148163014839937,0.0303607472348703,0.556396283393167,0.707843002852931,0.475940296159841,0.420546713288153,0.626138090438649,0.41515642616742,0.71077693107349,0.208055224902653,0.10237057855398,0.0832800013807463,0.0689171377755826,0.16729865041878,0.453120196370255,0.0726187538941702,0.365392451064462,0.100122844599213,0.254126230378695,0.540134674547916,0.618801990139734,0.307359651554329,0.503161763887979,0.619119604952601,0.7078759156705,0.130933460166344,0.379883379810492,0.104979338979862,0.279888518824275,0.181854013802781,0.0788176367837218,0.159037603955846,0.0927886577172664,0.0594272407471252,0.126280252139815,0.216984911894061,0.387447053791696,0.0692289063950361,0.147546410630315,0.186493326996042,0.0768491091578984,0.100373411072408,0.104102332656484,0.343616738951337,0.302538824687012,0.0779814969182053,0.0371762383014527,0.106978313418851,0.675199072880571,0.148702670290502,0.0825139213010453
"B.Temp",0.120874191701194,0.220084237286521,0.0911458911150032,0.307940075371809,0.053139233102542,0.0788102136072538,0.121157396974928,0.0522794995582236,0.103483788768106,0.0514196232556312,0.0479979916204275,0.0849601783755165,0.0971156280433274,0.0441803513257263,0.0687977184363416,0.0475907653278427,0.123322937388747,0.0416896291862454,0.0343871392330901,0.0266353944090773,0.169586159510942,0.1203123267213,0.181834481805263,0.193257176547046,0.110037259024387,0.0853865283765231,0.123422483403599,0.0435255525550969,0.0634871617199574,0.0446314466085158,0.136556763432414,0.241369381804745,0.0480095049528521,0.0872514660274102,0.16823602746917,0.0911095262652553,0.0557218027365578,0.0834480380765998,0.248188873379975,0.182730004877423,0.132923746663108,0.212242875252936,0.29728540466611,0.143155620620419,0.101260050003376,0.0507543779580481,0.0381861455613564,0.0571634117254474,0.212186693272747,0.320344034455239,0.14852902911625,0.0874467056723017,0.30196746655572,0.227341761138873,0.0556657969798912,0.0436275841551961,0.151552300976861,0.283578493248898,0.0727810412718347,0.0390340291085481,0.272902283964694,0.0566700691532476,0.0786394249060877,0.0699708893011098,0.149210586247546,0.0492723067248512,0.0923315954707842,0.24340459631478,0.0474155623458262,0.333910888968656,0.0895779368000732,0.0705447462395478,0.0487742987697374,0.0664627867551488,0.0924635070640146,0.113015903116083,0.0747813193386678,0.05041617648033,0.0990098461758693,0.0534599864068036,0.126985753413835,0.104963495380287,0.142466248527817,0.143081326744421,0.202254203541129,0.0489017721848377,0.404599338287649,0.119987916220301,0.0469304791586088,0.0674207170806523,0.0343518923530079,0.0840269812650261,0.0542368193298243,0.0591162931700615,0.0589312430814207,0.0885954054733025,0.0439508361543955,0.176788984625535,0.25251404160158,0.0919932045714719,0.0843560987251042,0.16624113629634,0.161092484117758,0.0548927258431289,0.0531719135753138,0.0511703583926447,0.0882915065303155,0.0826343706267939,0.120117875126812,0.0679768578430322,0.202772329049854,0.0863537104621555,0.0815616611932628,0.10825646384746,0.123679675289651,0.16489496801327,0.292604716977216,0.104959667675167,0.106859511860779,0.489165350945261
"B.PSU",0.123330779339427,0.170350120259879,0.272090155403852,0.0611179413095256,0.313200671357593,0.120778456164292,0.198371148030071,0.129403527766837,0.554910797175926,0.220316305153546,0.371516749096762,0.151654507776974,0.236012438490113,0.168664013212017,0.126216528900013,0.203158597375254,0.0728928620536703,0.127666587879025,0.372118080685124,0.0681856289861607,0.260437933594059,0.145473362390712,0.132924292727693,0.129184539227987,0.0775442422501828,0.218459616592695,0.66647294813014,0.375815506132276,0.192491160038988,0.0868969495961849,0.427163511779043,0.234038496623811,0.241458331370653,0.231847516138789,0.223328300588315,0.123918725766624,0.140053836504099,0.201762672723194,0.337299378170597,0.093877448599257,0.22204223338609,0.176459401756732,0.132322587767311,0.148187609294289,0.38371682698439,0.332493922428578,0.186546407946945,0.249737513676999,0.146040136975824,0.149139225803943,0.0743462534578418,0.261358225809515,0.129635328999425,0.235170636964909,0.105186281594141,0.192917001503729,0.247597516851136,0.171204297110672,0.110250489737182,0.0705960145452242,0.451241849099584,0.207698819943898,0.269876278292691,0.124905749955411,0.136555891449027,0.0838804988897178,0.0978003729613566,0.406496309906008,0.15422596437979,0.13523642809562,0.732549330841764,0.10758265892185,0.103489369537516,0.287951634157831,0.0986408481774928,0.06602220561723,0.116328207471731,0.126562700825415,0.394979844769377,0.140278850867505,0.10848456884251,0.389615383486179,0.224660161543515,0.198104116868061,0.422875743089239,0.223530653293544,0.181431741050732,0.139454299559027,0.137568223189043,0.12347503106275,0.474745533609975,0.121864268452075,0.210667314166547,0.0820758955056511,0.107836203465746,0.392486353529215,0.246371864150115,0.200598299660108,0.410754755285201,0.11320910110971,0.206306127345965,0.163891459616783,0.0923470525455012,0.240336051279796,0.486404705021327,0.359576689223974,0.12847486935962,0.267155175466207,0.149564399999285,0.276799693263173,0.321782660990839,0.119028638552613,0.116442971801824,0.228052529982855,0.143021226590663,0.155972487061327,0.074862712629233,0.0657505683987524,0.321166232141986,0.138598706326036
"Oxygen",0.517413832494491,0.0986135568159017,0.152609154251782,0.540378249305137,0.269696227476075,0.248762782649894,0.125578193014932,0.45104352301085,0.185405111772943,0.36336731262409,0.112869967929585,0.139546756525474,0.077853135053988,0.358343518690609,0.0921684715707968,0.128103706485078,0.627237860205367,0.0459967577534086,0.159763749342685,0.0273735658485016,0.216363556165318,0.45181629550005,0.217739012832512,0.368055004209271,0.0527134970945082,0.118793051794745,0.0390119876210894,0.301396187232873,0.524178262351269,0.0384381787295248,0.101167781316728,0.136849768193515,0.408630325967286,0.176566980023993,0.118280042848029,0.268443329408207,0.0434139862049359,0.128365245277733,0.0498921221843392,0.418621824509398,0.202743333732454,0.0473242587782618,0.28162752250606,0.0844054278319871,0.073407509003288,0.0612829465370905,0.189637738871675,0.0618412656584197,0.138808379722138,0.228025365604426,0.402533430753683,0.0593031076603935,0.26451741776447,0.103034355188481,0.0794154660679423,0.0540436432465834,0.139531980919006,0.154544752764553,0.0472733415332812,0.0255055212560843,0.0894908378883475,0.0839050395697989,0.359244383009484,0.309752038535795,0.136288205516985,0.0639746595507771,0.252427711246667,0.0797552599927651,0.187412946879863,0.204968543518105,0.0905190489973302,0.165825686756651,0.0554900435046261,0.0387504763317947,0.114872808475966,0.0656487171006221,0.0713233716997199,0.0419094903680054,0.0636314493311575,0.51799208289897,0.51274146532628,0.0948178412326203,0.0898204314984524,0.078121973110347,0.0829207263570161,0.187738097634575,0.0634045501069006,0.049664694576923,0.0797645172524966,0.0817248421144418,0.107209203909509,0.182109699635906,0.031831996470406,0.0161476539787275,0.0432759782601888,0.0391276902674767,0.327572869547148,0.108460687769404,0.0538818119986463,0.287506956969562,0.0598270080966731,0.328430005545223,0.243369560646115,0.336877475941448,0.0975944297564386,0.0663696251819829,0.289044472487255,0.423526976324259,0.272891001857214,0.343080307966212,0.0509178901708838,0.290687788128924,0.0807947869995146,0.188541952245521,0.211725556067377,0.114540979632086,0.472886381724144,0.0360571148492792,0.211344137923474,0.22664004057164
"Turbidity",0.0427120513653126,0.340965917533519,0.156389551795499,0.0144567646321021,0.0677125972736614,0.416326631667129,0.161853955244792,0.26735149867108,0.0875349072877139,0.113027151338357,0.0305093234674135,0.0441801825864315,0.185534844824951,0.0570712482060442,0.0388742554501194,0.156892400697034,0.0211608908695035,0.254212333661207,0.0611402519385589,0.0276667842674365,0.122536618033326,0.0607758152000038,0.110575404960934,0.140721793616324,0.191179503414616,0.0761139304853127,0.0117388111848489,0.0652130495094106,0.0700721531347264,0.115709365724618,0.161282212802014,0.0538878350984749,0.180782700158063,0.231323415913405,0.0769765750374761,0.0400092851927695,0.234507493596498,0.368491590722847,0.0414009294217419,0.0509704030972946,0.0776246830603571,0.375449044959934,0.087114335469654,0.0405460599917787,0.133350389841326,0.0646980237367201,0.130079743309407,0.366602410775279,0.313035499223978,0.154322784334954,0.232784164053331,0.208015690306019,0.0740090224666064,0.171592351042918,0.0667773582792771,0.0436695631360046,0.137417946432901,0.235751894080602,0.115443946660487,0.043107736795616,0.0280783374667413,0.0246183619976406,0.0372530485626714,0.0558434039437498,0.0627251654964124,0.0619785312993123,0.154314933199413,0.0605245171355577,0.0225695048948757,0.108999076602318,0.0124166412248469,0.0319854183920476,0.0312796778258356,0.0676706522443114,0.219229490865507,0.101683496982335,0.278833570853917,0.0379332153295831,0.048691316575995,0.119878040791061,0.0667179567424527,0.243477978943585,0.0513401377094904,0.0479951713813925,0.106785066318942,0.102858391989926,0.0786972103120409,0.159595907307243,0.0373932322333445,0.0734757820038768,0.042827487306094,0.0619982646869696,0.0507260755641862,0.0624134948980837,0.0513622650456333,0.0549530989471069,0.202171255777145,0.179303584390673,0.0510658716056133,0.28709507103521,0.18302760649556,0.161628871339955,0.0334911526148488,0.0881228711387928,0.0852751543980403,0.0300798655925408,0.0595826035531162,0.0290537921761174,0.185528339781496,0.0460618379374335,0.269476546060619,0.173295017950523,0.0893448938203086,0.0933226180730013,0.143208070577486,0.185790051743103,0.0263014857202444,0.073237413082155,0.0936677421193819,0.0204312452297576
"Flourescence",0.057318005988598,0.0646458120346866,0.0605778297159807,0.0312095821576191,0.0615157904146282,0.0573114367798099,0.127150792119498,0.0408711747370434,0.030975425603969,0.0481130832291712,0.0612528376461721,0.172658679276079,0.0643135072156776,0.0593880186437906,0.204528225028166,0.0594587339006776,0.0474546148360793,0.0430573281536982,0.0335667304173937,0.168956015195254,0.0519123139721843,0.116256974075238,0.177976264988556,0.0533182292130859,0.256723941517479,0.408976209750836,0.108133212936045,0.0246084430323346,0.0650409963386562,0.196179481371262,0.138881703273906,0.138742857419379,0.0422796771000085,0.118034456180936,0.0965079589704088,0.232714128526076,0.0314801410110894,0.0799604898217111,0.0577629798120077,0.0491486109047259,0.214643435710577,0.137966884056975,0.0818721036359852,0.217749976539213,0.0630874121821724,0.104881287309457,0.100565473381042,0.0453595435091368,0.0950982451018391,0.0550923603577826,0.050556355674397,0.165852186646958,0.118180064887453,0.0682586291433566,0.129545442438813,0.0411592584555077,0.127446496429057,0.0869412321959135,0.141955669518654,0.0308609425104462,0.0326213022834056,0.040630479634949,0.0796052446452914,0.0548677311263317,0.0744157185367932,0.218905809119149,0.207779678134829,0.0597690337657062,0.0470886191755485,0.0562364662824236,0.0345274580394094,0.0620457454181262,0.0482351935214724,0.0559342574163816,0.0526992497255251,0.0185797710917881,0.0404953995073124,0.0281988974600512,0.0981488262685138,0.0593393757930469,0.0967140350363976,0.0891697620111196,0.280144327708148,0.0716574692768512,0.107156495033865,0.0685342938237907,0.160820558566375,0.273787001080343,0.155440449095187,0.030894828953384,0.017154951274351,0.039294671762382,0.0273884198317419,0.0679997741455983,0.604359670078408,0.033722745744363,0.0713878082391036,0.0486896671166917,0.0408736098371368,0.109402375394822,0.273881559534098,0.0732422314431598,0.181369567363056,0.132899804638845,0.0562581197041735,0.0945640590466442,0.360082278086728,0.0452962998450937,0.0584057586381761,0.158713416405797,0.0513171084110683,0.219634023880007,0.284736193867543,0.0746430723795618,0.281388937893402,0.330043228755899,0.018393247611582,0.0396011283301842,0.10095088088645,0.0393434194781197
"Random: sample",0.00555858333782773,0.00212328196607705,0.0220262429264158,0.000831024139691147,0.00241045719136202,0.00344501916617423,0.0102991926825352,0.010090811581,0.00264133211278229,0.0665236223111902,0.00189490297419622,0.222441162412483,0.00469036728196484,0.0022603124358512,0.0193037707985367,0.00178788128141829,0.00080505176292339,0.00415597225199921,0.00284787760595683,0.00733238267356964,0.00405551843672131,0.00280548504154482,0.0125045756437303,0.0237565381858243,0.00242257127437547,0.00270295252405683,0.0053264570539251,0.00311607878431223,0.00414623096951256,0.0478680169801712,0.00155234443101276,0.00689609830402035,0.00231728567435822,0.00329548372693143,0.00260009939000144,0.00401559765869302,0.00687198371298273,0.00266220792312417,0.00428079468392249,0.00392330766051119,0.0167496687146796,0.00321725452569177,0.00561632757354509,0.00433483120797469,0.0435401483126088,0.00475224988518605,0.0010059095191279,0.00111717685587269,0.00257797627659539,0.0113645954434119,0.00193653749364862,0.00629235698812133,0.00612138442902757,0.0325003967926298,0.0011906994466898,0.00133239657268134,0.0187699379549268,0.00302050532303563,0.00347781531224001,0.00184450739580432,0.00856492870536598,0.00191068657958688,0.0031889037867658,0.000558914960837367,0.00413983565421073,0.00158676993958343,0.00217051824207509,0.00398468510112304,0.00109510597802311,0.00409988948208091,0.00527520281558855,0.00468464461006044,0.00261246894164616,0.00518694395217733,0.000807205196358289,0.00842676816556552,0.0014047597189037,0.00293662042609112,0.081441324626413,0.00344418235897592,0.00266262152932315,0.0044032054275316,0.0310090665050923,0.00394208089516528,0.0030619334273258,0.00163625067624031,0.00683924591433051,0.00157376873480494,0.00163514200237347,0.00231290263547115,0.0119936340685094,0.00465728012678895,0.00339105158760164,0.00325110791033404,0.00178388239195386,0.00702782841559386,0.00157464950102445,0.00308292931185558,0.00409610115390896,0.0136402854435558,0.0263608651672008,0.00724782394667434,0.225587023216752,0.00860687901619444,0.00215162766938795,0.00476145661718029,0.00326521784635909,0.00283893325774008,0.0203662464284011,0.026204869549661,0.00136783617075075,0.0022228264550123,0.00211922198590552,0.00285736436807261,0.00858474143392857,0.00601293642661302,0.00376472019851763,0.00383435419440397,0.00844589414348449,0.00133326423202811
"Random: habitat",0.00782630342964673,0.00197010762930511,0.0121967153231048,0.00219943291018808,0.00522594796685988,0.00322215975536385,0.00286875825262001,0.0154958075296625,0.00168410372954023,0.00731257388352089,0.00165535047446731,0.00742230703743493,0.00646984512625182,0.000769186121281513,0.0293740557475245,0.00165626807414407,0.000812950642601796,0.00156452463200339,0.00472314376346373,0.00299661265728641,0.00602717347070043,0.00325480006849939,0.00643302700691513,0.00491925627905272,0.00169672850027156,0.00221395759552372,0.00418032634218798,0.00452379514112979,0.00348123857598706,0.0023288553130861,0.00224210605163651,0.007151759982538,0.00194293181436145,0.00293305501121304,0.0025488720572058,0.0088567381835219,0.00301336027331192,0.00405285451445185,0.0034120953196417,0.0046358059469695,0.0121827087869498,0.00315884482909356,0.00423526686286282,0.00460825322559386,0.00893287711856739,0.00518160106153907,0.00105269398121336,0.000950125753250505,0.00217017957491118,0.00384550634828373,0.00131153186369407,0.00614471147646813,0.00826855073721899,0.00633224986909542,0.00330680906054682,0.000994764179754285,0.00902144696618588,0.001573216605234,0.00450460000828622,0.00136664396732908,0.0121944736278235,0.00420394975501866,0.00226873470347351,0.00046709247415479,0.00201571365227682,0.00170145197354078,0.00373366498748859,0.00326843472067774,0.00169746249608743,0.00838569221086063,0.00477363404611759,0.000934816268549031,0.00227594504623644,0.00210295298251401,0.000740177206982522,0.000485047487728065,0.00167694524232772,0.00126596803703478,0.00604216735002069,0.00323690232965841,0.00241359772845446,0.00463519574309518,0.0132609760887033,0.00397766535350678,0.00232707833831293,0.00140808933262343,0.00408451116275843,0.00181018214266264,0.00113328252102913,0.00189390600969017,0.00435764592422458,0.00288707018287389,0.00263871809709235,0.00111986472104361,0.00151729751030497,0.00420349781245001,0.0019913776512059,0.00318732830145807,0.00495979471513407,0.0183353686919455,0.00720313067955346,0.00652981409459917,0.00331591874884343,0.0119839400019798,0.00215913798125742,0.0060308921533358,0.0020301457415704,0.00194804167347454,0.00663305117257423,0.00431390787679211,0.00199221807357751,0.0046756619142814,0.00138353138030395,0.00178717441651635,0.0104102952292864,0.00556911006624947,0.00420842172021133,0.00136068058948714,0.00886293063394262,0.00197405191611277
